COVID,Mask,thermometer,isPartial,C_per,M_per,t_per
56,7,1,FALSE,0.013471253,0.006535948,0.02
60,7,1,FALSE,0.014433486,0.006535948,0.02
59,7,1,FALSE,0.014192928,0.006535948,0.02
63,7,1,FALSE,0.01515516,0.006535948,0.02
69,7,0,FALSE,0.016598509,0.006535948,0
63,6,0,FALSE,0.01515516,0.005602241,0
72,6,1,FALSE,0.017320183,0.005602241,0.02
75,7,1,FALSE,0.018041857,0.006535948,0.02
68,6,1,FALSE,0.01635795,0.005602241,0.02
65,6,1,FALSE,0.015636276,0.005602241,0.02
67,5,1,FALSE,0.016117392,0.004668534,0.02
73,5,1,FALSE,0.017560741,0.004668534,0.02
72,5,1,FALSE,0.017320183,0.004668534,0.02
76,5,0,FALSE,0.018282415,0.004668534,0
83,6,1,FALSE,0.019966322,0.005602241,0.02
82,6,0,FALSE,0.019725764,0.005602241,0
73,6,0,FALSE,0.017560741,0.005602241,0
69,6,0,FALSE,0.016598509,0.005602241,0
65,6,0,FALSE,0.015636276,0.005602241,0
60,5,0,FALSE,0.014433486,0.004668534,0
60,5,0,FALSE,0.014433486,0.004668534,0
64,5,0,FALSE,0.015395718,0.004668534,0
68,6,0,FALSE,0.01635795,0.005602241,0
69,5,0,FALSE,0.016598509,0.004668534,0
70,4,0,FALSE,0.016839067,0.003734827,0
77,5,0,FALSE,0.018522973,0.004668534,0
81,5,0,FALSE,0.019485206,0.004668534,0
80,5,0,FALSE,0.019244648,0.004668534,0
77,5,0,FALSE,0.018522973,0.004668534,0
77,5,0,FALSE,0.018522973,0.004668534,0
85,6,0,FALSE,0.020447438,0.005602241,0
77,5,0,FALSE,0.018522973,0.004668534,0
76,5,0,TRUE,0.018282415,0.004668534,0
